MonthlyMinutes,TotalRecurringCharge,PercChangeMinutes,UniqueSubs,Handsets,CurrentEquipmentDays,HandsetRefurbished,HandsetWebCapable,RetentionCalls,RetentionOffersAccepted,CreditRating
782.0,25.0,-258.0,1,5.0,162.0,0,1,0,0,2
24.0,30.0,25.0,1,3.0,985.0,0,1,0,0,0
1293.0,68.0,447.0,2,4.0,20.0,0,1,0,0,0
100.0,50.0,6.0,1,4.0,977.0,0,0,0,0,2
404.0,50.0,50.0,1,3.0,528.0,1,0,0,0,0
1.0,20.0,0.0,1,1.0,1536.0,0,0,0,0,0
36.0,45.0,0.0,3,2.0,1023.0,0,0,0,0,0
71.0,38.0,146.0,1,1.0,1597.0,0,0,0,0,0
333.0,75.0,-31.0,2,3.0,122.0,0,1,0,0,2
65.0,30.0,76.0,2,8.0,530.0,0,0,0,0,2
2382.0,150.0,-230.0,3,18.0,307.0,0,1,0,0,2
745.0,85.0,367.0,1,4.0,86.0,0,1,0,0,3
20.0,17.0,15.0,1,1.0,1695.0,0,0,0,0,3
1671.0,75.0,-641.0,1,4.0,492.0,1,1,0,0,3
1438.0,83.0,-186.0,2,7.0,100.0,0,1,0,0,3
1230.0,60.0,217.0,1,7.0,659.0,1,0,0,0,0
18.0,19.0,10.0,1,2.0,839.0,0,0,0,0,0
560.0,71.0,79.0,3,6.0,374.0,0,1,0,0,3
1008.0,60.0,-52.0,3,7.0,163.0,1,1,0,0,0
3479.0,85.0,-394.0,3,7.0,47.0,0,1,0,0,0
831.0,75.0,119.0,1,8.0,49.0,0,1,0,0,3
1010.0,60.0,14.0,1,10.0,4.0,0,1,0,0,2
828.0,75.0,299.0,1,5.0,350.0,1,1,0,0,0
148.0,45.0,-86.0,1,3.0,331.0,1,1,1,1,3
493.0,85.0,-196.0,1,5.0,158.0,0,1,0,0,0
820.0,60.0,26.0,1,3.0,451.0,0,1,0,0,0
34.0,15.0,19.0,1,1.0,1583.0,0,0,0,0,0
148.0,30.0,20.0,1,4.0,527.0,0,1,0,0,3
1376.0,85.0,355.0,2,2.0,652.0,0,1,0,0,0
538.0,75.0,58.0,3,4.0,161.0,0,1,0,0,0
1650.0,83.0,-177.0,6,4.0,306.0,1,1,0,0,0
1020.0,58.0,110.0,1,7.0,163.0,0,1,0,0,0
70.0,50.0,-14.0,2,4.0,11.0,0,1,0,0,0
161.0,89.0,78.0,4,2.0,1116.0,0,1,0,0,0
1151.0,95.0,225.0,4,2.0,1599.0,0,0,0,0,0
2338.0,78.0,-366.0,1,5.0,240.0,0,1,0,0,3
784.0,80.0,-30.0,2,24.0,452.0,1,1,0,0,0
1807.0,85.0,-373.0,2,9.0,387.0,1,1,0,0,0
368.0,45.0,-174.0,1,3.0,701.0,0,0,0,0,0
291.0,45.0,-18.0,1,3.0,135.0,0,1,0,0,2
1172.0,83.0,184.0,1,4.0,773.0,1,0,0,0,0
1580.0,77.0,-338.0,1,7.0,336.0,0,1,0,0,0
2256.0,83.0,-2239.0,2,12.0,318.0,0,1,0,0,2
711.0,50.0,-53.0,1,3.0,430.0,0,1,0,0,1
343.0,75.0,-60.0,1,4.0,581.0,0,1,0,0,2
3808.0,183.0,5.0,1,6.0,77.0,0,1,0,0,0
1670.0,83.0,240.0,2,9.0,116.0,0,1,0,0,2
516.0,50.0,-45.0,1,4.0,45.0,0,1,0,0,0
797.0,60.0,-9.0,1,3.0,10.0,0,1,0,0,4
181.0,30.0,-146.0,1,3.0,574.0,0,1,0,0,5
1166.0,75.0,-119.0,3,5.0,710.0,0,1,0,0,0
3210.0,213.0,-422.0,2,11.0,124.0,0,1,0,0,2
66.0,30.0,-66.0,1,2.0,754.0,0,1,0,0,0
154.0,50.0,-47.0,1,1.0,1565.0,0,0,0,0,2
2206.0,85.0,-102.0,1,9.0,151.0,1,1,0,0,2
44.0,45.0,-35.0,1,11.0,270.0,1,1,0,0,2
1730.0,87.0,474.0,1,8.0,241.0,0,1,0,0,5
0.0,27.0,0.0,1,5.0,383.0,0,1,0,0,0
790.0,75.0,-60.0,1,6.0,638.0,1,1,0,0,0
219.0,30.0,-58.0,2,2.0,776.0,0,1,0,0,0
18.0,30.0,-12.0,1,1.0,1669.0,0,0,0,0,2
1228.0,108.0,-12.0,1,11.0,226.0,0,1,0,0,0
112.0,32.0,-2.0,1,2.0,517.0,0,1,0,0,0
245.0,30.0,53.0,1,5.0,180.0,0,1,0,0,0
572.0,59.0,-119.0,1,4.0,275.0,0,1,0,0,2
295.0,30.0,41.0,1,5.0,181.0,0,1,0,0,0
848.0,70.0,-80.0,2,6.0,422.0,0,1,0,0,2
1710.0,75.0,-922.0,3,6.0,132.0,0,1,0,0,2
866.0,38.0,-100.0,1,4.0,418.0,1,1,0,0,2
1410.0,75.0,-520.0,1,3.0,395.0,0,1,0,0,2
490.0,70.0,506.0,6,3.0,279.0,0,1,1,1,5
34.0,5.0,5.0,1,4.0,411.0,1,1,0,0,0
71.0,40.0,-21.0,1,6.0,561.0,0,1,0,0,0
3559.0,150.0,-149.0,3,10.0,-3.0,1,1,0,0,2
340.0,35.0,-154.0,1,1.0,1493.0,0,0,0,0,2
287.0,30.0,-57.0,1,4.0,831.0,1,0,0,0,6
0.0,10.0,0.0,2,2.0,1333.0,0,0,0,0,0
3584.0,59.0,-1037.0,2,7.0,489.0,0,1,0,0,0
50.0,30.0,-12.0,1,2.0,503.0,0,1,0,0,0
485.0,50.0,135.0,1,4.0,318.0,1,1,0,0,3
194.0,20.0,102.0,2,3.0,315.0,0,1,0,0,0
18.0,5.0,-18.0,1,1.0,1595.0,0,0,0,0,0
501.0,45.0,-113.0,1,9.0,672.0,1,0,0,0,3
3206.0,83.0,265.0,3,8.0,77.0,0,1,0,0,0
1161.0,105.0,-43.0,1,8.0,299.0,1,1,0,0,0
143.0,107.0,-36.0,2,1.0,1592.0,0,0,0,0,1
149.0,74.0,74.0,3,4.0,329.0,0,1,0,0,0
890.0,75.0,-217.0,6,12.0,475.0,1,0,0,0,0
438.0,50.0,73.0,1,1.0,1590.0,0,0,0,0,1
355.0,55.0,-171.0,1,2.0,669.0,0,0,0,0,2
699.0,80.0,-86.0,1,5.0,99.0,0,1,0,0,3
479.0,75.0,-166.0,2,11.0,86.0,0,1,0,0,2
594.0,102.0,134.0,1,3.0,61.0,0,1,0,0,4
731.0,140.0,-4.0,2,4.0,675.0,1,1,0,0,2
2.0,75.0,-2.0,2,2.0,799.0,0,1,0,0,0
399.0,32.0,151.0,2,5.0,47.0,0,1,0,0,0
144.0,50.0,72.0,3,6.0,325.0,1,1,0,0,0
2489.0,85.0,-1597.0,2,6.0,109.0,0,1,0,0,0
1204.0,85.0,-784.0,5,10.0,30.0,1,1,0,0,1
838.0,85.0,-111.0,2,6.0,239.0,0,1,0,0,0
1250.0,75.0,-538.0,2,4.0,305.0,0,1,0,0,0
1086.0,75.0,112.0,3,5.0,804.0,0,1,0,0,0
1027.0,50.0,-159.0,1,1.0,1583.0,0,0,0,0,0
503.0,63.0,-126.0,2,9.0,75.0,0,1,0,0,0
432.0,50.0,139.0,2,4.0,443.0,0,1,0,0,1
415.0,45.0,156.0,3,4.0,293.0,0,1,1,1,2
1333.0,75.0,-233.0,2,14.0,115.0,0,1,1,1,2
1104.0,60.0,-431.0,1,2.0,348.0,0,1,0,0,0
3148.0,75.0,997.0,2,2.0,631.0,0,1,0,0,0
12.0,20.0,6.0,1,1.0,1638.0,0,0,0,0,0
772.0,60.0,-512.0,1,5.0,547.0,1,0,1,0,3
1130.0,75.0,90.0,1,4.0,284.0,0,1,0,0,0
46.0,30.0,20.0,1,2.0,1441.0,0,0,3,1,0
478.0,60.0,32.0,3,7.0,438.0,1,1,0,0,0
1262.0,75.0,-65.0,1,8.0,25.0,1,1,0,0,2
0.0,10.0,0.0,1,1.0,1636.0,0,0,1,0,0
2746.0,75.0,-359.0,1,4.0,241.0,0,1,0,0,1
1622.0,75.0,-355.0,1,6.0,206.0,0,1,0,0,0
1684.0,75.0,39.0,1,4.0,314.0,1,1,0,0,0
307.0,35.0,204.0,1,3.0,539.0,0,0,0,0,0
1206.0,75.0,134.0,1,5.0,54.0,0,1,0,0,3
430.0,50.0,-30.0,1,2.0,6.0,0,1,0,0,0
1611.0,93.0,-254.0,4,9.0,19.0,0,1,0,0,0
409.0,50.0,18.0,1,3.0,53.0,1,1,0,0,0
5863.0,202.0,106.0,1,8.0,187.0,0,1,0,0,0
1461.0,75.0,112.0,1,5.0,446.0,1,0,0,0,0
1270.0,87.0,328.0,1,8.0,369.0,0,1,0,0,0
1239.0,85.0,635.0,2,7.0,173.0,0,1,0,0,2
1122.0,87.0,86.0,3,9.0,198.0,1,1,0,0,0
78.0,20.0,35.0,1,1.0,1462.0,0,0,0,0,0
362.0,32.0,38.0,2,4.0,691.0,0,1,0,0,0
457.0,80.0,-63.0,4,4.0,160.0,0,1,0,0,0
1051.0,50.0,-341.0,1,3.0,246.0,0,1,0,0,2
5.0,20.0,1.0,1,5.0,325.0,1,1,0,0,0
866.0,75.0,-4.0,1,7.0,230.0,0,1,0,0,2
767.0,75.0,-243.0,1,3.0,664.0,0,1,1,1,0
130.0,75.0,-17.0,1,6.0,438.0,0,1,0,0,4
439.0,30.0,-17.0,1,3.0,257.0,0,1,0,0,5
214.0,30.0,202.0,1,3.0,922.0,1,0,0,0,2
1149.0,85.0,-280.0,1,5.0,417.0,0,1,0,0,4
1560.0,75.0,-363.0,4,12.0,192.0,0,1,0,0,0
1134.0,150.0,-50.0,3,3.0,378.0,0,1,0,0,0
764.0,70.0,-16.0,1,4.0,181.0,0,0,0,0,3
1066.0,75.0,-2.0,1,3.0,317.0,0,1,0,0,0
1388.0,95.0,548.0,2,4.0,123.0,1,1,0,0,0
698.0,49.0,322.0,1,6.0,435.0,0,1,0,0,2
311.0,70.0,-66.0,3,7.0,238.0,0,1,0,0,0
1112.0,60.0,-265.0,2,7.0,48.0,1,1,0,0,2
6.0,10.0,-6.0,1,3.0,431.0,1,0,0,0,0
378.0,60.0,14.0,1,8.0,32.0,0,1,0,0,3
173.0,48.0,-120.0,1,3.0,89.0,0,1,0,0,2
585.0,81.0,77.0,1,4.0,632.0,0,1,0,0,2
16.0,20.0,24.0,1,2.0,1517.0,0,0,0,0,0
1141.0,75.0,-28.0,2,3.0,631.0,0,1,0,0,2
1028.0,85.0,84.0,1,4.0,502.0,0,1,0,0,2
1592.0,75.0,210.0,1,13.0,182.0,0,1,0,0,3
2311.0,80.0,-131.0,1,8.0,30.0,0,1,0,0,2
414.0,75.0,188.0,1,4.0,456.0,0,1,0,0,4
889.0,57.0,-162.0,2,8.0,555.0,0,1,0,0,2
162.0,38.0,-58.0,1,4.0,841.0,0,0,0,0,0
1130.0,75.0,-40.0,1,2.0,448.0,0,1,0,0,0
256.0,50.0,100.0,1,4.0,228.0,0,0,1,0,0
202.0,24.0,-138.0,1,2.0,861.0,0,1,0,0,0
2058.0,75.0,-98.0,2,3.0,569.0,0,1,0,0,0
428.0,35.0,1038.0,1,2.0,13.0,0,1,0,0,0
651.0,75.0,-5.0,2,4.0,686.0,0,1,0,0,0
73.0,20.0,5.0,1,2.0,998.0,0,0,0,0,0
147.0,30.0,6.0,1,3.0,644.0,0,1,0,0,0
3.0,21.0,0.0,1,6.0,311.0,1,1,1,1,3
1509.0,75.0,-148.0,1,2.0,582.0,0,1,0,0,0
411.0,75.0,-79.0,5,6.0,320.0,1,1,0,0,0
1852.0,75.0,12.0,1,9.0,247.0,1,0,0,0,0
482.0,45.0,244.0,1,4.0,183.0,0,1,0,0,3
1363.0,75.0,-703.0,1,8.0,13.0,0,1,0,0,5
45.0,47.0,-45.0,1,2.0,575.0,0,0,0,0,0
0.0,5.0,0.0,1,17.0,511.0,1,1,0,0,0
930.0,105.0,-208.0,3,16.0,822.0,0,1,0,0,0
2185.0,81.0,-405.0,2,6.0,68.0,1,1,0,0,0
289.0,45.0,-3.0,2,3.0,389.0,0,1,0,0,0
430.0,37.0,115.0,1,3.0,256.0,0,1,0,0,0
1730.0,75.0,-29.0,1,7.0,239.0,0,1,0,0,2
752.0,60.0,-263.0,1,4.0,528.0,0,1,0,0,0
0.0,25.0,0.0,1,1.0,1447.0,0,0,0,0,0
577.0,85.0,-99.0,1,6.0,166.0,0,1,0,0,0
750.0,22.0,50.0,1,10.0,313.0,1,1,0,0,3
608.0,50.0,-76.0,1,4.0,652.0,0,1,0,0,3
879.0,97.0,45.0,4,10.0,16.0,0,1,0,0,0
692.0,71.0,-282.0,2,9.0,698.0,0,1,0,0,2
1790.0,160.0,-54.0,2,3.0,556.0,0,1,0,0,0
188.0,30.0,10.0,2,3.0,304.0,1,1,0,0,0
1514.0,80.0,274.0,2,4.0,331.0,0,1,0,0,0
44.0,20.0,-16.0,1,2.0,1088.0,1,0,0,0,0
938.0,95.0,-37.0,3,4.0,198.0,0,1,0,0,0
403.0,50.0,-56.0,2,2.0,1264.0,0,0,0,0,0
3.0,10.0,-3.0,1,2.0,588.0,0,1,0,0,0
1764.0,110.0,131.0,2,5.0,439.0,0,1,0,0,0
114.0,32.0,-58.0,2,2.0,494.0,0,1,0,0,0
479.0,50.0,-337.0,1,2.0,172.0,0,0,0,0,0
3.0,17.0,0.0,1,1.0,1444.0,0,0,0,0,0
2955.0,82.0,262.0,2,11.0,195.0,1,1,0,0,0
1245.0,68.0,-160.0,2,8.0,285.0,0,1,0,0,2
820.0,85.0,2.0,1,6.0,686.0,0,1,0,0,0
1058.0,75.0,-48.0,1,2.0,702.0,0,0,0,0,0
134.0,70.0,-12.0,3,5.0,767.0,0,1,0,0,0
3280.0,80.0,286.0,1,9.0,1.0,0,1,0,0,0
227.0,45.0,125.0,1,6.0,217.0,0,1,0,0,0
369.0,50.0,-7.0,2,2.0,416.0,0,1,0,0,0
409.0,42.0,-289.0,2,1.0,1442.0,0,0,0,0,0
817.0,36.0,-137.0,2,7.0,90.0,0,1,1,1,2
542.0,35.0,-242.0,1,2.0,1287.0,0,0,0,0,3
2845.0,75.0,-450.0,4,4.0,140.0,0,1,0,0,0
631.0,95.0,-4.0,2,6.0,410.0,1,1,0,0,0
1526.0,76.0,92.0,2,4.0,663.0,0,1,0,0,0
674.0,55.0,169.0,1,2.0,463.0,0,1,0,0,0
410.0,50.0,85.0,1,4.0,538.0,0,1,0,0,0
196.0,7.0,-68.0,2,3.0,876.0,0,1,0,0,0
51.0,30.0,19.0,1,2.0,1145.0,1,0,0,0,0
655.0,85.0,-158.0,2,5.0,533.0,0,1,0,0,0
509.0,60.0,33.0,1,2.0,195.0,0,1,0,0,0
1804.0,75.0,205.0,1,5.0,341.0,0,1,0,0,3
381.0,50.0,108.0,2,7.0,231.0,1,1,0,0,0
781.0,80.0,-137.0,1,9.0,86.0,0,1,0,0,2
493.0,50.0,220.0,1,5.0,135.0,0,1,0,0,0
64.0,52.0,-58.0,3,3.0,615.0,0,1,0,0,0
835.0,50.0,-93.0,1,4.0,15.0,1,1,0,0,0
1410.0,81.0,60.0,1,7.0,98.0,0,1,0,0,0
2935.0,200.0,-774.0,3,6.0,382.0,0,1,0,0,0
604.0,50.0,-24.0,1,2.0,524.0,0,1,0,0,0
454.0,85.0,-96.0,2,6.0,250.0,0,1,0,0,2
306.0,50.0,-25.0,2,5.0,3.0,0,1,0,0,5
805.0,75.0,97.0,1,3.0,574.0,0,1,0,0,0
1032.0,75.0,250.0,5,6.0,268.0,0,1,0,0,0
832.0,75.0,-832.0,2,4.0,555.0,0,1,1,1,0
928.0,100.0,193.0,1,12.0,212.0,0,1,0,0,3
308.0,30.0,-166.0,3,4.0,556.0,0,1,0,0,2
1269.0,75.0,-104.0,2,3.0,293.0,0,1,0,0,0
1314.0,75.0,-208.0,1,4.0,428.0,1,1,0,0,0
1859.0,75.0,-111.0,2,6.0,96.0,1,1,0,0,0
2982.0,80.0,-414.0,3,13.0,110.0,0,1,2,2,0
49.0,60.0,89.0,2,4.0,501.0,1,1,0,0,0
785.0,58.0,55.0,1,3.0,861.0,0,1,0,0,0
1128.0,60.0,-5.0,1,5.0,66.0,0,1,0,0,0
204.0,30.0,-23.0,4,4.0,556.0,0,1,0,0,0
712.0,60.0,-382.0,2,2.0,872.0,0,1,0,0,2
1273.0,75.0,41.0,2,8.0,647.0,0,0,0,0,2
384.0,50.0,42.0,1,4.0,737.0,0,1,1,0,2
974.0,45.0,-144.0,3,5.0,374.0,1,1,0,0,2
514.0,60.0,136.0,1,2.0,427.0,0,1,0,0,0
7.0,48.0,-6.0,1,4.0,686.0,1,0,0,0,0
827.0,80.0,195.0,1,11.0,256.0,1,1,0,0,2
0.0,50.0,0.0,1,1.0,1535.0,0,0,0,0,0
1038.0,50.0,232.0,3,3.0,860.0,1,0,0,0,0
1643.0,80.0,0.0,2,6.0,153.0,0,1,0,0,0
778.0,95.0,-94.0,2,7.0,223.0,0,1,0,0,0
675.0,50.0,198.0,2,5.0,236.0,0,1,0,0,1
2487.0,80.0,-548.0,1,13.0,9.0,0,1,0,0,4
894.0,52.0,146.0,2,6.0,360.0,0,1,0,0,2
815.0,95.0,-350.0,2,5.0,99.0,0,1,0,0,0
596.0,75.0,-38.0,1,4.0,85.0,0,1,0,0,0
144.0,55.0,-137.0,2,9.0,401.0,0,1,0,0,0
3252.0,207.0,-435.0,3,5.0,358.0,0,1,0,0,0
2008.0,80.0,-351.0,5,4.0,179.0,1,1,0,0,0
4830.0,80.0,-932.0,5,7.0,225.0,1,1,0,0,0
1054.0,31.0,-918.0,2,3.0,11.0,0,1,0,0,0
214.0,40.0,150.0,1,4.0,37.0,0,1,0,0,0
323.0,25.0,-323.0,1,5.0,304.0,0,1,0,0,2
1218.0,115.0,-114.0,4,7.0,372.0,0,1,0,0,0
1638.0,83.0,-403.0,1,3.0,636.0,0,1,0,0,0
1333.0,92.0,93.0,1,3.0,661.0,0,1,1,1,0
1141.0,75.0,76.0,2,3.0,720.0,0,1,0,0,0
1656.0,85.0,-444.0,1,4.0,361.0,0,1,0,0,0
524.0,75.0,-81.0,3,1.0,1593.0,0,0,0,0,0
415.0,55.0,-121.0,1,4.0,469.0,0,1,0,0,0
1615.0,55.0,37.0,1,7.0,575.0,1,1,0,0,0
1680.0,101.0,-709.0,2,3.0,630.0,0,1,0,0,0
0.0,5.0,0.0,3,2.0,1004.0,0,0,0,0,0
126.0,30.0,-16.0,2,5.0,184.0,0,1,0,0,0
420.0,40.0,-94.0,1,2.0,170.0,0,1,0,0,0
77.0,30.0,-70.0,1,1.0,1592.0,0,0,0,0,0
477.0,30.0,-131.0,1,7.0,663.0,0,1,0,0,2
794.0,80.0,-44.0,2,7.0,26.0,0,1,0,0,5
419.0,45.0,-22.0,1,3.0,730.0,0,1,0,0,0
930.0,80.0,351.0,1,7.0,283.0,0,1,1,1,2
94.0,30.0,46.0,1,2.0,1293.0,0,0,0,0,0
312.0,60.0,-46.0,1,3.0,650.0,1,0,0,0,0
1412.0,75.0,120.0,2,9.0,105.0,1,1,0,0,0
16.0,25.0,34.0,1,1.0,1589.0,0,0,0,0,0
2.0,17.0,-1.0,1,2.0,110.0,0,1,0,0,0
1494.0,70.0,770.0,2,4.0,147.0,0,1,0,0,0
1065.0,85.0,-29.0,1,3.0,322.0,0,1,0,0,0
2119.0,91.0,-294.0,3,5.0,267.0,0,1,0,0,0
995.0,75.0,42.0,3,5.0,162.0,0,1,0,0,5
2571.0,160.0,-475.0,1,9.0,305.0,0,1,0,0,5
984.0,85.0,-736.0,1,14.0,39.0,1,1,1,1,2
1023.0,85.0,-31.0,1,16.0,204.0,1,1,0,0,0
8.0,20.0,-1.0,1,2.0,1410.0,0,0,0,0,2
560.0,75.0,-560.0,1,3.0,27.0,0,1,1,1,0
6336.0,75.0,136.0,2,8.0,162.0,0,1,0,0,0
1059.0,55.0,-255.0,1,4.0,440.0,0,1,0,0,3
119.0,30.0,34.0,1,3.0,559.0,0,1,0,0,0
264.0,55.0,-72.0,5,4.0,226.0,0,1,0,0,2
26.0,20.0,-26.0,1,3.0,479.0,1,0,0,0,3
411.0,50.0,92.0,1,2.0,620.0,0,1,0,0,0
220.0,45.0,100.0,1,2.0,229.0,0,1,0,0,0
750.0,90.0,92.0,3,10.0,386.0,0,1,0,0,0
1567.0,55.0,-96.0,1,4.0,41.0,1,1,0,0,0
934.0,75.0,148.0,1,3.0,363.0,1,0,0,0,0
0.0,17.0,0.0,2,1.0,1479.0,0,0,0,0,2
637.0,50.0,-119.0,1,5.0,210.0,0,1,0,0,0
765.0,50.0,109.0,1,6.0,664.0,0,1,0,0,0
166.0,70.0,-24.0,3,4.0,345.0,1,0,0,0,0
67.0,24.0,-38.0,1,3.0,810.0,0,1,0,0,2
2221.0,62.0,-733.0,2,9.0,160.0,1,1,0,0,2
3142.0,75.0,347.0,2,5.0,266.0,0,1,0,0,0
292.0,55.0,132.0,1,1.0,1524.0,0,0,0,0,0
0.0,35.0,0.0,1,1.0,1585.0,0,0,0,0,3
131.0,30.0,183.0,2,7.0,458.0,0,1,0,0,0
2777.0,85.0,-38.0,3,18.0,626.0,0,1,0,0,2
0.0,5.0,0.0,1,1.0,1584.0,0,0,1,0,0
545.0,50.0,-144.0,1,3.0,582.0,0,1,0,0,0
682.0,55.0,77.0,3,3.0,465.0,0,1,0,0,0
377.0,30.0,-238.0,1,5.0,207.0,0,1,0,0,1
1038.0,70.0,244.0,1,2.0,382.0,0,1,0,0,0
39.0,25.0,-18.0,1,1.0,1523.0,0,0,0,0,0
2468.0,300.0,-321.0,1,6.0,162.0,0,1,0,0,2
503.0,56.0,-284.0,2,3.0,404.0,0,1,0,0,0
1222.0,60.0,130.0,1,3.0,921.0,0,1,0,0,3
149.0,30.0,83.0,1,2.0,741.0,0,1,0,0,2
2075.0,80.0,-144.0,2,8.0,237.0,1,1,0,0,0
8.0,30.0,-8.0,1,1.0,1582.0,0,0,0,0,3
1202.0,55.0,-95.0,4,3.0,476.0,0,1,0,0,0
2021.0,75.0,317.0,1,9.0,68.0,0,1,0,0,3
690.0,55.0,12.0,1,2.0,807.0,1,0,0,0,2
746.0,38.0,-723.0,1,2.0,374.0,0,1,0,0,3
1791.0,121.0,-368.0,1,5.0,86.0,0,1,0,0,2
688.0,80.0,187.0,1,4.0,93.0,1,1,0,0,3
1943.0,99.0,-20.0,1,4.0,20.0,0,1,0,0,5
1199.0,75.0,-149.0,1,6.0,360.0,1,0,0,0,0
2613.0,55.0,-154.0,2,8.0,212.0,1,1,1,0,0
36.0,42.0,-16.0,1,3.0,1188.0,0,0,0,0,3
186.0,20.0,14.0,2,1.0,1578.0,0,0,0,0,3
2326.0,150.0,36.0,1,2.0,422.0,1,1,0,0,0
148.0,30.0,24.0,1,1.0,1408.0,0,0,0,0,0
297.0,30.0,-67.0,2,1.0,1515.0,0,0,0,0,0
575.0,50.0,-35.0,1,3.0,431.0,1,0,0,0,0
2912.0,75.0,124.0,2,2.0,166.0,1,1,0,0,0
438.0,85.0,60.0,3,3.0,463.0,0,1,0,0,0
40.0,50.0,-40.0,3,7.0,722.0,0,1,0,0,0
172.0,40.0,70.0,2,2.0,369.0,0,1,0,0,0
735.0,55.0,-29.0,1,6.0,221.0,0,1,0,0,5
842.0,100.0,-291.0,1,2.0,888.0,1,0,0,0,0
0.0,8.0,0.0,1,1.0,1468.0,0,0,0,0,2
461.0,70.0,125.0,1,11.0,623.0,0,1,0,0,0
680.0,50.0,-142.0,1,5.0,271.0,0,1,0,0,0
1262.0,80.0,233.0,1,4.0,526.0,0,1,0,0,0
465.0,9.0,-48.0,2,5.0,110.0,0,1,0,0,0
366.0,32.0,-54.0,2,5.0,635.0,0,1,0,0,0
455.0,50.0,-189.0,1,2.0,1253.0,0,0,0,0,2
981.0,50.0,636.0,2,16.0,3.0,0,1,0,0,2
1344.0,79.0,-195.0,1,2.0,298.0,0,1,0,0,0
868.0,75.0,-41.0,2,4.0,71.0,1,1,0,0,0
969.0,67.0,-844.0,1,4.0,630.0,0,1,0,0,2
328.0,30.0,-141.0,4,4.0,276.0,0,1,0,0,0
358.0,55.0,160.0,5,5.0,849.0,1,0,0,0,1
842.0,55.0,26.0,2,2.0,740.0,0,1,0,0,0
818.0,30.0,597.0,1,1.0,1463.0,0,0,0,0,0
2072.0,110.0,-117.0,2,7.0,411.0,0,1,0,0,1
938.0,95.0,-54.0,1,3.0,142.0,0,1,0,0,2
658.0,75.0,42.0,1,6.0,317.0,0,1,0,0,3
81.0,30.0,70.0,2,2.0,876.0,0,0,0,0,0
82.0,45.0,16.0,1,3.0,100.0,0,1,0,0,0
108.0,40.0,47.0,1,1.0,1462.0,0,0,0,0,0
598.0,73.0,-153.0,1,2.0,911.0,0,1,0,0,3
569.0,84.0,-54.0,3,2.0,581.0,0,1,0,0,0
1995.0,85.0,24.0,2,9.0,660.0,0,1,0,0,1
457.0,40.0,30.0,1,5.0,310.0,1,1,0,0,2
430.0,50.0,-228.0,1,5.0,65.0,0,1,0,0,0
1072.0,75.0,24.0,2,3.0,505.0,0,1,0,0,0
33.0,25.0,5.0,1,1.0,1396.0,0,0,0,0,0
247.0,30.0,154.0,1,4.0,-1.0,0,1,1,1,0
187.0,65.0,-102.0,2,3.0,194.0,1,1,0,0,0
282.0,45.0,-280.0,1,5.0,357.0,1,1,0,0,0
148.0,45.0,-46.0,1,3.0,130.0,1,1,0,0,0
240.0,9.0,-14.0,2,6.0,27.0,0,1,0,0,4
69.0,60.0,-19.0,2,4.0,197.0,0,1,0,0,0
586.0,45.0,229.0,2,2.0,251.0,0,1,0,0,1
